"MINSAN";"DESCRIZIONE";"PP*1000";"CATEGORIA";"GIAC";"IVA";"P.P."
"920652070    ";"2 LIMETTE SM 120 G            ";4200;"Parafarmaci";2;22;
"920528357    ";"3 DAYS START 2DEC+1PREPA TISAN";47000;"Integratori alimentari";2;10;0,00
"904432729    ";"3MIL 30ML                     ";17000;"Integratori alimentari";1;10;0,00
"913228185    ";"4321 SLIM CHRONO LINEA N/STOP ";9900;"Integratori alimentari";1;10;0,00
"931445530    ";"5 HTP 60TAV                   ";15000;"Integratori alimentari";1;10;0,00
"932533983    ";"5D ARANCIA 500ML              ";19900;"Integratori alimentari";5;10;0,00
"934489788    ";"7 PIANTE 24CPR PROPOLI MIE/LIM";6500;"Integratori alimentari";9;10;0,00
"933422887    ";"7 PIANTE 30PRL BALSAMICHE     ";9900;"Integratori alimentari";7;10;0,00
"933422913    ";"7 PIANTE DEOD AMBIENTE AMBRA  ";9900;"Parafarmaci";3;22;0,00
"933422925    ";"7 PIANTE DEOD AMBIENTE LAVANDA";9900;"Parafarmaci";3;22;0,00
"930248935    ";"7 PIANTE PAST BALS EXFT 16,5G ";6500;"Integratori alimentari";4;10;0,00
"930248962    ";"7 PIANTE PAST TOSSE 30TAV     ";6500;"Prodotti sanitari             ";3;22;0,00
"930248947    ";"7 PIANTE SPRAY NASALE PROPOLI ";6700;"Prodotti sanitari             ";12;22;0,00
"933422899    ";"7 PIANTE TISANA BALSAM 12BUST ";9900;"Erboristeria salut. preconf.  ";5;10;0,00
"920652195    ";"8 CUNEI PROFESS FONDOT        ";4200;"Parafarmaci";2;22;0,00
"909483327    ";"8+2 CANOVA CR DEPIGMENT 50ML  ";39400;"Prodotti viso, trattamento    ";2;22;0,00
"901251936    ";"AB300 CAPSULE VAGINALI 10PZ   ";14000;"Prod.per igiene int.uso inter.";1;22;0,00
"933418651    ";"ABC MULTIVITA 100TAV          ";23000;"Integratori alimentari";2;10;0,00
"931445441    ";"ACAI BERRY 60TAV              ";28700;"Integratori alimentari";2;10;0,00
"907027383    ";"ACCUTREND CHOLESTEROL 5STR    ";19000;"Diagnostici in vitro          ";1;22;0,00
"909287512    ";"ACETONE SOLVENTE OLEOSO 50ML  ";3300;"Prodotti per il corpo         ";8;22;0,00
"901548697    ";"ACIDO BORICO POLV FU 30G      ";700;"Sostanze materie prime uso lab";8;10;0,00
"902259946    ";"ACIDO CITRICO ANIDRO 100G     ";6000;"Sostanze materie prime uso lab";1;22;0,00
"931749788    ";"ACIDO IALURONICO 30CPS        ";15000;"Integratori alimentari";2;10;0,00
"905435018    ";"ACQUA AMOROSA 6X1000ML        ";8160;"Acque minerali                ";2;22;0,00
"933153696    ";"ACQUA BORICA BAGNO OCUL STER  ";5900;"Prodotti sanitari             ";5;22;0,00
"931749737    ";"ACQUA DIUR 50TAV              ";15000;"Integratori alimentari";5;10;0,00
"908951890    ";"ACQUA OSSIGENATA 10VOL 1000ML ";3400;"Sostanze preconf. per vendita ";2;22;0,00
"909273536    ";"ACQUA OSSIGENATA 10VOL 200ML  ";1100;"Sostanze materie prime uso lab";6;10;0,00
